id,구분,클라이언트 메시지,클라이언트 파일,클라이언트 baseVersion,서버 파일 상태,버전 비교,해시 비교,서버 행동,서버 메시지,서버 메시지 내용,비고
M001,초기 동기화,syncInit,있음,없음,없음,해당없음,해당없음,없음,syncResult,toPut,클라이언트 큐 선처리 이후 서버에 없는 로컬 파일을 저장. 후속 filePut은 baseVersion=null로 전달
M002,초기 동기화,syncInit,있음,없음,있음,해당없음,localHash == serverHash,없음,syncResult,toUpdateMeta,처음 보는 파일이지만 서버와 내용이 같으므로 메타만 저장
M003,초기 동기화,syncInit,있음,없음,있음,해당없음,localHash != serverHash,없음,syncResult,conflict,처음 보는 파일인데 서버와 내용이 다름
M004,초기 동기화,syncInit,있음,없음,삭제됨,해당없음,localHash == serverHash,없음,syncResult,toDeleteLocal,처음 보는 경로지만 삭제된 서버 파일의 마지막 내용과 같으므로 로컬 파일을 삭제하고 tombstone 메타 저장
M005,초기 동기화,syncInit,있음,없음,삭제됨,해당없음,localHash != serverHash,없음,syncResult,deleteConflict,처음 보는 경로인데 서버는 tombstone이고 로컬 내용은 삭제 전 서버 내용과 다름
M006,초기 동기화,syncInit,있음,있음,삭제됨,baseVersion == serverVersion,localHash == serverHash,없음,syncResult,toDeleteLocal,클라이언트가 아는 tombstone과 같은 내용이므로 로컬 파일을 삭제하고 tombstone 메타 저장
M007,초기 동기화,syncInit,있음,있음,삭제됨,baseVersion == serverVersion,localHash != serverHash,없음,syncResult,toPut,삭제 후 같은 이름으로 다시 생성된 파일이므로 tombstone baseVersion 그대로 filePut에 전달. 후속 filePut은 현재 판단에 사용한 baseVersion을 그대로 전달
M008,초기 동기화,syncInit,있음,있음,삭제됨,baseVersion != serverVersion,localHash == serverHash,없음,syncResult,toDeleteLocal,서버 tombstone 버전이 달라졌지만 현재 tombstone 내용과 같으므로 로컬 파일을 삭제하고 최신 tombstone 메타 저장
M009,초기 동기화,syncInit,있음,있음,삭제됨,baseVersion != serverVersion,localHash != serverHash,없음,syncResult,deleteConflict,마지막 동기화 이후 서버 tombstone이 바뀌었고 로컬 내용도 다름
M010,초기 동기화,syncInit,있음,있음,있음,baseVersion == serverVersion,localHash == serverHash,없음,syncResult,none,이미 최신 상태
M011,초기 동기화,syncInit,있음,있음,있음,baseVersion == serverVersion,localHash != serverHash,없음,syncResult,toPut,서버가 안 바뀌었으므로 로컬 내용을 서버에 저장. 후속 filePut은 현재 판단에 사용한 baseVersion을 그대로 전달
M012,초기 동기화,syncInit,있음,있음,있음,baseVersion != serverVersion,localHash == serverHash,없음,syncResult,toUpdateMeta,서버 버전만 최신으로 메타 갱신
M013,초기 동기화,syncInit,있음,있음,있음,baseVersion != serverVersion,localHash != serverHash,없음,syncResult,conflict,서버도 바뀌고 로컬 내용도 서버와 다름
M014,초기 동기화,syncInit,있음,있음,없음,해당없음,해당없음,없음,syncResult,conflict,baseVersion이 있는데 서버 레코드가 없으면 서버 메타 손실로 보고 자동 재생성하지 않음
M015,초기 동기화,syncInit,없음,없음,있음,해당없음,해당없음,없음,syncResult,toDownload,처음 보는 서버 파일을 내려받음
M016,초기 동기화,syncInit,없음,없음,없음,해당없음,해당없음,없음,syncResult,none,양쪽 모두 파일 없음
M017,초기 동기화,syncInit,없음,없음,삭제됨,해당없음,해당없음,없음,syncResult,none,메타가 없는 클라이언트는 서버 tombstone을 저장하지 않음
M018,초기 동기화,syncInit,없음,있음,있음,상관없음,해당없음,없음,syncResult,deleteConflict,클라이언트 큐 선처리 이후에도 서버 active면 삭제 전파 실패 또는 서버 변경으로 보고 충돌 표시
